user,churn,age,housing,deposits,withdrawal,purchases_partners,purchases,cc_taken,cc_recommended,cc_disliked,cc_liked,cc_application_begin,app_downloaded,web_user,ios_user,android_user,registered_phones,payment_type,waiting_4_loan,cancelled_loan,received_loan,rejected_loan,zodiac_sign,left_for_two_month_plus,left_for_one_month,reward_rate,is_referred
42910,0,45.0,R,48,0,76,48,0,204,0,0,58,1,1,0,1,0,Weekly,0,0,0,0,Sagittarius,0,0,1.93,1
58305,1,31.0,na,0,0,0,0,0,63,0,0,2,1,1,1,0,2,Weekly,0,0,0,0,Leo,1,0,0.7,0
2707,0,45.0,R,0,0,0,0,0,170,0,0,16,1,1,0,1,0,Bi-Weekly,0,0,0,0,Scorpio,0,0,1.97,0
6919,0,28.0,R,0,0,0,0,0,207,0,0,4,1,1,0,1,0,Bi-Weekly,0,0,0,0,Gemini,0,0,2.17,0
44486,0,24.0,na,0,0,37,0,0,60,0,0,4,1,1,0,1,2,Bi-Weekly,0,0,0,0,na,0,0,0.77,1
43254,1,42.0,na,0,0,0,0,0,5,0,0,0,1,1,0,1,0,na,0,0,0,0,Scorpio,0,0,0.23,0
16514,0,27.0,R,0,0,0,0,2,206,0,0,22,1,1,0,1,0,na,0,0,0,0,Taurus,0,0,2.23,0
8169,0,26.0,R,0,0,57,0,0,154,0,0,2,1,1,0,1,0,Bi-Weekly,0,0,1,0,Aquarius,1,0,1.3,1
23859,0,32.0,R,0,0,87,0,0,112,0,0,8,1,1,0,1,0,Bi-Weekly,0,0,0,0,Cancer,1,0,1.23,1
2351,0,21.0,na,1,0,26,1,0,133,0,0,6,1,1,0,1,0,na,0,0,0,0,Leo,0,0,1.27,1
46400,1,38.0,R,12,2,79,12,0,105,0,0,12,1,1,1,0,4,na,0,0,0,0,Pisces,0,0,1.23,1
11790,0,29.0,R,2,0,57,2,0,185,0,0,5,1,0,0,1,0,Bi-Weekly,0,0,0,0,Libra,0,0,1.53,1
40595,1,24.0,R,3,0,56,3,0,93,0,0,8,1,1,0,1,0,Bi-Weekly,0,0,0,0,Gemini,0,0,0.83,0
36757,0,40.0,na,0,0,22,0,0,40,0,0,2,1,1,0,1,0,Weekly,0,1,0,0,na,0,0,0.5700000000000001,1
49320,1,22.0,na,0,0,0,0,0,11,0,0,0,1,1,0,1,0,Bi-Weekly,0,0,0,0,Sagittarius,0,0,0.06999999999999999,1
1826,1,48.0,O,33,0,16,31,0,185,0,0,14,1,1,1,0,2,Bi-Weekly,0,0,0,0,na,0,0,1.5699999999999998,0
10539,1,39.0,na,0,0,8,0,0,23,0,0,3,1,1,1,0,0,Bi-Weekly,0,0,0,0,Aquarius,0,0,0.13,0
8143,0,32.0,R,0,0,59,0,2,289,0,0,14,1,1,1,0,0,na,0,0,0,0,Scorpio,0,0,2.23,1
21204,1,25.0,na,14,5,23,14,0,43,0,0,11,1,0,1,0,0,Bi-Weekly,0,0,0,0,Cancer,0,0,0.37,1
46727,0,21.0,R,11,2,53,11,0,145,0,0,11,1,0,0,1,0,Bi-Weekly,0,0,0,0,Cancer,0,0,0.93,0
36721,1,30.0,O,1,1,48,1,0,224,0,0,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Taurus,0,0,1.77,1
989,0,26.0,O,0,0,0,0,0,57,0,0,5,1,1,1,0,0,na,0,0,0,0,Aquarius,0,0,0.97,0
8508,0,33.0,R,0,0,116,0,0,205,0,0,7,1,1,1,0,0,Bi-Weekly,0,0,0,0,Leo,0,0,2.03,1
50946,1,30.0,na,0,0,0,0,0,16,0,0,1,1,1,1,0,2,Bi-Weekly,0,0,0,0,na,0,1,0.47,0
65668,1,42.0,R,0,0,5,0,0,50,0,0,0,1,0,1,0,0,na,0,0,0,0,Taurus,0,0,0.47,0
50130,1,34.0,na,0,0,0,0,0,27,0,0,1,1,1,0,1,0,Weekly,0,0,0,0,Aquarius,0,0,0.67,0
55422,0,26.0,R,10,0,37,10,0,77,0,0,4,1,0,1,1,5,Semi-Monthly,0,0,0,0,Cancer,0,0,0.67,1
42253,0,30.0,R,13,0,89,12,0,257,0,0,44,1,1,0,1,0,Bi-Weekly,0,0,0,0,na,0,0,2.17,0
41211,0,20.0,R,3,0,63,3,0,107,0,0,6,1,0,0,1,0,Bi-Weekly,0,0,0,0,Libra,0,0,1.23,0
259,1,23.0,na,0,0,0,0,0,145,1,0,19,1,1,0,1,0,Bi-Weekly,0,0,0,0,Sagittarius,0,0,1.7,0
3885,0,48.0,na,0,0,0,0,0,187,0,0,11,1,0,1,0,0,Monthly,0,0,0,0,Taurus,0,0,1.87,1
40538,1,35.0,O,0,0,0,0,0,36,0,0,15,1,0,0,1,0,Monthly,0,0,0,0,Aries,0,0,2.0,1
1011,0,46.0,R,7,2,57,7,0,168,0,0,24,1,1,0,1,0,Bi-Weekly,0,0,0,0,Aries,1,0,1.1,0
38492,0,34.0,R,0,0,0,0,1,222,9,0,24,1,1,1,0,0,Bi-Weekly,0,0,0,0,Virgo,0,0,2.1,0
68171,0,23.0,na,0,0,1,0,0,0,0,0,0,1,0,0,1,0,Bi-Weekly,0,0,0,0,Capricorn,0,0,0.06,0
19878,0,28.0,R,17,1,82,17,0,233,0,0,18,1,1,0,1,0,na,0,0,0,0,Libra,0,0,1.93,0
8255,0,43.0,R,3,0,81,3,0,225,0,0,4,1,1,1,1,2,na,0,0,0,0,Aries,0,0,1.97,1
51642,0,44.0,na,0,0,4,0,0,0,0,0,0,1,1,1,0,0,Bi-Weekly,0,0,0,0,Taurus,0,0,0.1,0
17451,0,33.0,R,0,0,140,0,0,303,0,0,20,1,1,0,1,0,Bi-Weekly,0,0,0,0,Taurus,1,0,2.23,0
46324,0,18.0,na,0,0,0,0,0,3,0,0,0,1,1,0,1,0,Bi-Weekly,0,0,0,0,Capricorn,0,0,0.0,0
15712,1,60.0,R,0,0,0,0,0,44,0,0,18,1,1,1,0,0,Monthly,0,0,0,0,Taurus,0,0,0.63,1
36751,0,39.0,na,24,1,69,24,0,218,0,0,29,1,1,0,1,0,na,0,0,0,0,Sagittarius,0,0,1.87,1
21558,1,35.0,na,0,0,0,0,0,66,0,0,2,1,1,1,0,0,Bi-Weekly,0,0,0,0,Taurus,1,0,0.63,0
41909,0,32.0,na,0,0,0,0,0,0,0,0,0,1,1,0,1,0,na,0,0,0,0,Libra,0,0,0.0,0
38825,0,26.0,na,0,0,36,0,0,99,0,0,3,1,1,0,1,0,na,0,0,0,0,Pisces,0,0,1.23,0
7871,1,26.0,R,1,0,27,1,0,133,0,0,3,1,0,0,1,3,Weekly,0,0,0,0,Leo,0,0,1.33,0
22333,0,24.0,R,3,1,82,3,0,177,0,0,13,1,0,0,1,0,Bi-Weekly,0,0,0,0,Virgo,0,0,1.87,0
19314,1,38.0,na,0,0,0,0,0,17,0,0,1,1,0,1,0,0,Bi-Weekly,0,0,0,0,Aquarius,0,0,0.4,1
14311,0,32.0,R,24,6,36,24,0,116,0,0,21,1,1,1,1,2,Bi-Weekly,0,0,0,0,Scorpio,0,0,0.97,1
67046,0,47.0,na,0,0,1,0,0,4,0,0,2,1,0,0,1,0,Bi-Weekly,0,0,0,0,Aries,1,0,0.0,1
24305,0,26.0,R,1,0,56,1,0,217,0,0,15,1,0,0,1,2,na,0,0,0,0,Sagittarius,0,0,1.8,1
42987,0,26.0,na,0,0,31,0,0,50,0,0,5,1,0,1,0,2,Bi-Weekly,0,0,0,0,na,0,0,0.67,1
26916,0,33.0,na,0,0,32,0,0,60,0,0,2,1,0,0,1,0,Bi-Weekly,0,0,0,0,Taurus,0,0,0.8,1
7011,1,35.0,na,0,0,102,0,0,136,0,0,8,1,1,1,0,0,Bi-Weekly,0,0,0,0,Aries,0,0,1.17,1
67088,1,22.0,na,0,0,2,0,0,0,0,0,0,1,0,0,1,0,Bi-Weekly,0,0,0,0,Scorpio,0,0,0.0,0
7686,1,27.0,R,0,0,10,0,0,91,0,0,7,1,1,0,1,0,Bi-Weekly,0,0,0,0,Scorpio,0,0,0.8,0
14965,0,27.0,na,0,0,7,0,0,11,0,0,1,1,0,0,1,0,Bi-Weekly,0,0,0,0,Cancer,0,0,0.2,0
13910,0,24.0,R,2,2,50,2,0,100,0,0,4,1,0,0,1,0,na,0,0,0,0,Sagittarius,0,0,1.03,1
33946,0,21.0,na,0,0,7,0,0,11,0,0,1,1,0,0,1,0,Monthly,0,0,0,0,Sagittarius,0,0,1.0,1
23701,0,25.0,R,2,0,22,2,0,15,0,0,2,1,1,0,1,2,Bi-Weekly,0,0,0,0,Scorpio,1,0,0.27,1
15150,1,26.0,R,10,1,14,10,0,40,0,0,1,1,0,0,1,0,na,0,0,0,0,Gemini,0,0,0.4,0
8987,0,27.0,R,0,0,1,0,0,83,0,0,1,1,0,0,1,0,Weekly,0,0,0,0,Pisces,1,0,1.1,1
41826,1,22.0,R,9,2,107,9,0,170,0,0,32,1,1,0,1,0,Bi-Weekly,0,0,0,0,Virgo,0,0,1.3,1
5250,0,52.0,na,0,0,40,0,0,70,0,0,6,1,1,1,0,0,Semi-Monthly,0,0,0,0,Aries,0,0,0.93,0
27912,0,25.0,na,0,0,25,0,0,41,0,0,4,1,1,0,1,0,na,0,0,0,0,Scorpio,0,0,0.4,1
19625,0,32.0,na,0,0,23,0,0,50,0,0,1,1,0,1,0,0,Bi-Weekly,0,0,0,0,Libra,0,0,0.37,0
30614,0,30.0,na,41,0,27,41,0,207,0,0,4,1,1,0,1,0,Weekly,0,0,0,0,Gemini,0,0,1.87,1
18574,1,23.0,R,6,4,59,6,0,159,0,0,11,1,1,0,1,2,Bi-Weekly,0,0,0,0,Cancer,0,0,1.86,1
26736,0,26.0,R,5,1,93,5,0,252,0,0,11,1,0,0,1,0,na,0,0,0,0,Aries,0,0,2.17,1
49664,1,26.0,R,3,0,38,3,0,84,0,0,7,1,0,0,1,0,na,0,0,0,0,Virgo,0,0,1.0,1
21189,0,20.0,R,1,0,72,1,0,140,0,0,18,1,1,0,1,0,Bi-Weekly,0,0,0,0,Aries,0,0,1.03,1
43289,0,32.0,na,6,0,24,6,0,45,0,0,9,1,1,0,1,0,na,0,0,0,0,Aquarius,0,0,0.58,0
30329,1,45.0,R,0,0,0,0,0,0,0,0,0,1,1,1,1,2,Bi-Weekly,0,0,0,0,Cancer,0,0,0.1,0
6111,0,25.0,O,0,0,67,0,0,250,0,0,10,1,1,0,1,0,Bi-Weekly,0,0,0,0,Sagittarius,1,0,2.03,0
35351,0,35.0,R,15,0,3,15,1,300,0,0,34,1,1,0,1,0,Bi-Weekly,0,0,0,0,Aquarius,0,0,2.17,0
11691,1,22.0,na,0,0,0,0,0,128,0,0,4,1,1,1,0,2,Bi-Weekly,0,0,1,0,Aries,0,0,1.5699999999999998,0
38853,0,28.0,na,59,0,63,55,0,255,0,0,21,1,1,0,1,0,Bi-Weekly,0,0,0,0,Taurus,0,0,2.23,0
55927,0,20.0,na,0,0,5,0,0,4,0,0,0,1,0,0,1,0,Semi-Monthly,0,0,0,0,Taurus,0,0,0.27,1
34187,1,30.0,R,0,0,34,0,0,59,0,0,2,1,0,0,1,2,Weekly,0,0,0,0,Pisces,0,0,0.63,1
45320,0,40.0,O,8,0,52,8,0,294,0,0,38,1,1,1,0,0,na,0,0,0,0,Sagittarius,1,0,2.23,0
30417,1,27.0,O,1,0,13,1,0,27,0,0,0,1,0,0,1,0,Bi-Weekly,0,0,0,0,na,0,0,0.16999999999999998,1
15592,1,36.0,R,0,0,0,0,0,235,0,1,9,1,1,1,1,2,Bi-Weekly,0,0,0,0,Sagittarius,0,0,2.13,0
68714,0,36.0,R,0,0,8,0,0,16,0,0,0,1,1,1,0,2,Bi-Weekly,0,0,0,0,Cancer,0,0,0.13,0
51721,1,30.0,R,2,0,62,2,0,99,0,0,16,1,1,1,0,0,Bi-Weekly,0,0,0,0,Leo,0,0,0.63,1
3801,0,42.0,R,2,0,47,2,0,280,0,0,24,1,1,1,0,2,na,0,0,0,0,Virgo,1,0,1.87,1
65867,0,72.0,na,0,0,0,0,0,0,0,0,0,1,1,0,1,0,Monthly,0,0,0,0,Leo,0,0,0.0,0
50736,1,23.0,na,0,0,12,0,0,11,0,0,1,1,0,0,1,2,Bi-Weekly,0,0,0,0,Aries,0,0,0.4,1
35050,1,39.0,R,8,3,76,8,0,163,0,0,12,1,0,1,0,0,Weekly,0,0,0,0,Pisces,0,0,0.53,1
3897,1,38.0,R,0,0,0,0,0,20,0,0,9,1,1,1,0,0,Monthly,0,0,0,0,Aries,0,0,0.77,0
34000,1,38.0,na,0,0,0,0,0,22,0,0,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Pisces,0,0,0.5700000000000001,0
4993,0,37.0,R,0,0,0,0,1,236,4,1,19,1,1,1,1,2,Bi-Weekly,0,0,0,0,Cancer,0,0,2.1,0
24606,0,20.0,na,0,0,47,0,0,148,0,0,11,1,0,0,1,0,Bi-Weekly,0,0,0,0,Gemini,0,0,1.13,0
47068,1,56.0,na,1,0,37,1,0,81,0,0,5,1,1,1,0,2,Weekly,0,0,0,0,Aries,1,0,0.53,1
13611,0,19.0,R,1,0,102,1,0,219,0,0,9,1,1,1,1,5,na,0,0,0,0,na,0,0,1.93,1
59843,1,48.0,na,0,0,0,0,0,0,0,0,0,1,1,1,0,0,Weekly,0,0,0,0,Aquarius,1,0,0.0,0
41052,1,39.0,na,2,0,1,2,0,82,0,0,9,1,0,0,1,0,Bi-Weekly,0,0,0,0,Aquarius,1,0,0.47,1
45396,0,39.0,na,0,0,7,0,0,36,0,0,9,1,1,1,0,0,Bi-Weekly,0,0,0,0,Scorpio,0,0,0.73,0
40888,0,24.0,na,0,0,35,0,0,57,0,0,2,1,0,1,0,3,Bi-Weekly,0,0,0,0,Virgo,1,0,0.83,0
14403,1,39.0,na,0,0,0,0,0,201,0,0,5,1,0,1,0,0,Bi-Weekly,0,0,0,0,Sagittarius,0,0,2.5,0
22597,0,29.0,R,7,2,52,7,0,71,0,0,12,1,1,0,1,0,Semi-Monthly,0,0,0,0,na,1,0,0.73,0
42157,0,21.0,na,0,0,0,0,0,54,0,0,5,1,0,0,1,0,Semi-Monthly,0,0,0,0,Libra,0,0,0.5,0
31150,1,32.0,R,0,0,0,0,0,134,0,0,4,1,1,0,1,0,na,0,0,0,0,Leo,0,0,1.37,0
17918,1,41.0,R,0,0,0,0,0,55,0,0,9,1,1,1,0,2,Bi-Weekly,0,0,0,0,Libra,0,0,0.8,0
20243,1,42.0,R,21,3,31,21,0,60,0,0,15,1,1,1,1,2,Weekly,0,0,0,0,Capricorn,0,0,0.8,1
42283,0,29.0,O,0,0,0,0,0,180,0,0,16,1,1,1,0,0,Weekly,0,0,1,0,Cancer,0,0,2.27,0
52613,0,21.0,na,0,0,0,0,0,1,0,0,0,1,1,0,1,0,na,0,0,0,0,Scorpio,0,0,0.0,0
32820,1,39.0,R,12,1,8,12,2,147,65,0,24,1,1,1,0,0,Weekly,0,0,0,0,Virgo,0,0,1.47,1
725,0,40.0,R,3,0,148,3,0,269,0,0,17,1,0,1,0,0,Weekly,0,0,0,0,na,0,0,2.13,0
46856,0,22.0,R,6,1,198,6,0,301,0,0,61,1,1,0,1,0,Bi-Weekly,0,0,0,0,Libra,1,0,2.17,0
61439,0,21.0,R,0,0,5,0,0,0,0,0,0,1,1,1,0,0,Bi-Weekly,0,0,0,0,na,1,0,0.1,0
27152,0,52.0,na,1,1,24,1,0,78,0,0,8,1,0,1,0,2,Bi-Weekly,0,0,0,0,Gemini,0,0,0.77,0
2572,0,27.0,R,0,0,172,0,0,217,0,0,10,1,1,1,0,0,Bi-Weekly,0,0,0,0,Aries,0,1,1.4300000000000002,1
51797,0,23.0,na,2,0,15,2,0,10,0,0,4,1,0,0,1,3,Monthly,0,0,0,0,Sagittarius,0,0,0.1,0
56605,1,28.0,R,8,0,20,8,0,51,0,0,1,1,1,1,0,0,Weekly,0,0,0,0,Libra,1,0,0.53,1
32867,0,57.0,O,54,0,69,54,0,249,0,0,36,1,1,1,0,0,Weekly,0,0,0,0,Sagittarius,0,0,2.1,0
50443,0,50.0,na,5,0,71,5,0,136,0,0,5,1,0,0,1,2,Bi-Weekly,0,0,0,0,Capricorn,0,0,1.0,1
42188,1,29.0,na,1,1,12,1,0,31,0,0,4,1,1,1,0,3,Weekly,0,0,0,0,na,1,0,0.06999999999999999,0
29143,1,37.0,O,4,0,17,4,0,145,0,0,11,1,0,1,0,0,Bi-Weekly,0,0,1,0,Taurus,0,0,1.4,0
51263,1,30.0,R,16,1,69,16,0,151,0,0,8,1,1,0,1,0,na,0,0,0,0,Aquarius,0,0,1.3,1
37159,0,22.0,na,0,0,0,0,0,6,0,0,2,1,0,1,0,2,na,0,0,0,0,Taurus,0,0,0.0,0
2601,0,42.0,R,0,0,42,0,0,179,0,0,14,1,1,0,1,0,Weekly,0,0,0,0,Aquarius,1,0,1.4300000000000002,1
9454,1,25.0,R,16,3,23,16,0,76,0,0,14,1,0,0,1,0,na,0,0,0,0,Taurus,0,0,0.5700000000000001,1
13207,1,22.0,na,0,0,0,0,0,111,0,0,11,1,1,0,1,0,Bi-Weekly,0,0,0,0,Cancer,0,0,1.3,0
43818,0,43.0,O,0,0,0,0,0,109,0,0,10,1,1,0,1,3,Semi-Monthly,0,0,0,0,Scorpio,0,0,1.5,0
33990,0,33.0,O,49,4,56,49,0,263,0,0,7,1,1,0,1,0,Bi-Weekly,0,0,0,0,Capricorn,0,1,1.9,0
38562,0,35.0,R,1,0,70,1,0,260,0,0,20,1,1,0,1,2,Bi-Weekly,0,0,0,0,Aries,0,0,2.0,1
10006,0,27.0,R,10,1,93,10,0,154,0,0,24,1,1,0,1,0,Weekly,0,0,0,0,Virgo,0,0,1.13,1
67144,1,23.0,R,1,0,3,1,0,0,0,0,0,1,0,1,0,0,Bi-Weekly,0,0,0,0,Aquarius,0,0,0.0,1
19296,1,30.0,O,0,0,0,0,0,226,0,0,21,1,1,0,1,2,Semi-Monthly,0,0,0,0,Libra,0,0,2.2,0
49950,0,19.0,na,0,0,0,0,0,219,0,0,8,1,0,0,1,0,Bi-Weekly,0,0,0,0,Cancer,0,0,2.3,0
22223,1,25.0,O,2,0,2,2,0,15,0,0,1,1,1,1,0,2,Monthly,0,1,0,0,Libra,0,0,0.03,1
42800,1,23.0,na,0,0,0,0,0,10,0,0,2,1,0,1,1,2,Weekly,0,0,0,0,Taurus,0,0,0.13,0
12135,1,43.0,na,0,0,0,0,0,73,0,0,13,1,1,0,1,2,Bi-Weekly,0,0,0,0,Aries,0,0,1.2,0
58742,0,26.0,na,6,0,10,6,0,5,0,0,3,1,1,0,1,0,Monthly,0,0,0,0,Virgo,1,0,0.4,0
3148,0,24.0,R,6,0,163,6,0,290,0,0,44,1,1,0,1,0,na,0,0,0,0,Cancer,1,0,2.23,0
7130,0,20.0,na,0,0,5,0,0,15,0,0,2,1,0,0,1,0,Bi-Weekly,0,0,0,0,Aquarius,0,0,0.1,0
46266,0,22.0,na,0,0,2,0,0,0,0,0,0,1,0,1,0,2,Weekly,0,0,0,1,Aquarius,1,0,0.0,0
49735,1,26.0,na,0,0,0,0,0,8,0,0,0,1,1,1,0,0,na,0,0,0,0,Scorpio,0,1,0.33,0
16514,0,26.0,R,0,0,0,0,2,206,0,0,22,1,1,0,1,0,na,0,0,0,0,Taurus,0,0,2.23,0
131,0,32.0,R,10,0,0,10,1,192,0,0,9,1,0,1,0,0,Bi-Weekly,0,0,0,0,Cancer,0,0,1.63,1
7310,1,46.0,R,1,0,2,1,0,3,0,0,0,1,0,1,0,0,Weekly,0,0,0,0,Virgo,1,0,0.0,0
51090,1,21.0,na,0,0,1,0,0,5,0,0,1,1,0,0,1,0,na,0,0,0,0,Leo,0,0,0.0,0
16690,0,30.0,O,0,0,146,0,0,137,0,0,11,1,0,1,0,0,Weekly,0,0,0,0,na,1,0,1.23,1
54826,0,36.0,na,0,0,13,0,0,24,0,0,7,1,0,1,0,0,na,0,0,0,0,Scorpio,0,0,0.2,1
42814,1,36.0,R,0,0,4,0,0,158,0,0,34,1,1,1,0,2,Semi-Monthly,0,0,0,0,Virgo,0,0,0.9,1
48148,1,22.0,na,0,0,17,0,0,49,0,0,2,1,0,0,1,2,Bi-Weekly,0,0,0,0,Libra,0,0,0.74,0
55262,1,42.0,na,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Bi-Weekly,0,0,0,0,Sagittarius,0,0,0.0,0
48511,1,30.0,na,4,0,0,4,0,10,0,0,0,1,0,1,0,0,Bi-Weekly,0,0,0,0,na,0,0,0.33,0
8593,0,26.0,R,0,0,0,0,0,141,0,0,3,1,0,0,1,0,Weekly,0,0,0,0,Sagittarius,0,0,2.0,0
45233,1,26.0,R,0,0,0,0,1,164,0,1,6,1,0,0,1,0,Semi-Monthly,0,0,0,0,Sagittarius,0,0,1.37,0
7405,1,31.0,R,0,0,0,0,0,199,0,0,13,1,1,0,1,2,Bi-Weekly,0,0,0,0,Taurus,0,0,1.17,0
47074,1,36.0,R,60,4,120,60,0,291,0,0,27,1,1,0,1,0,Monthly,0,0,0,0,na,1,0,2.23,1
23353,0,36.0,R,10,0,92,10,0,189,0,0,7,1,1,0,1,0,Monthly,0,0,0,0,Sagittarius,0,0,1.63,0
45357,0,45.0,O,0,0,26,0,0,49,0,0,12,1,1,0,1,0,Bi-Weekly,0,0,0,0,Gemini,0,0,0.65,0
42881,0,31.0,O,11,1,34,11,0,51,0,0,17,1,1,1,0,2,Bi-Weekly,0,0,0,0,Taurus,0,0,0.8,1
34395,0,48.0,R,0,0,0,0,4,229,4,27,36,1,1,1,0,0,na,0,0,0,0,Taurus,0,0,2.1,0
20848,0,21.0,R,0,0,46,0,0,118,0,0,5,1,0,0,1,0,Bi-Weekly,0,1,0,0,Aquarius,0,0,1.5699999999999998,1
63704,1,26.0,na,1,0,2,1,0,0,0,0,0,1,0,1,0,0,Monthly,0,0,0,0,Taurus,1,0,0.43,0
3300,0,35.0,na,0,0,33,0,0,55,0,0,2,1,0,1,0,0,Semi-Monthly,0,0,0,0,Aquarius,1,0,0.6,1
10745,0,47.0,O,10,0,17,10,0,48,0,0,3,1,0,1,0,0,Weekly,0,0,0,0,Pisces,0,0,0.63,0
34485,0,36.0,na,14,1,18,14,0,77,0,0,7,1,1,1,0,0,na,0,0,0,0,Taurus,0,0,0.85,0
25822,1,29.0,R,1,1,12,1,0,81,0,0,8,1,1,1,1,3,Bi-Weekly,0,0,0,0,Scorpio,0,0,0.53,1
45279,1,41.0,R,0,0,0,0,0,232,0,0,13,1,0,1,0,0,Weekly,0,0,0,0,Cancer,0,0,2.77,1
34106,1,45.0,R,0,0,46,0,0,223,0,0,7,1,1,0,1,0,Weekly,0,0,0,0,Sagittarius,0,0,1.87,0
4250,0,26.0,na,0,0,7,0,0,26,0,0,0,1,1,0,1,0,Weekly,0,0,0,0,Gemini,1,0,0.27,0
28978,1,26.0,R,0,0,48,0,0,197,0,0,40,1,1,0,1,0,Bi-Weekly,0,0,1,0,Aries,1,0,1.37,0
33578,0,25.0,R,0,0,12,0,0,212,0,0,5,1,0,0,1,0,Weekly,0,0,0,0,Aquarius,1,0,1.9,0
23627,0,25.0,na,35,2,77,35,0,195,0,0,9,1,1,0,1,0,Weekly,0,0,0,0,Scorpio,0,0,1.4300000000000002,1
64202,1,36.0,na,0,0,9,0,0,19,0,0,0,1,1,1,0,0,Monthly,0,0,0,0,Leo,0,0,0.03,0
67978,1,30.0,na,1,0,5,1,0,16,0,0,0,1,1,1,0,0,Bi-Weekly,0,0,0,0,Pisces,0,0,0.03,0
3821,0,30.0,R,0,0,0,0,0,217,0,0,15,1,1,0,1,0,Bi-Weekly,0,0,0,0,Taurus,0,0,2.07,0
12302,1,30.0,R,5,1,75,5,0,197,0,0,19,1,1,1,0,0,Bi-Weekly,0,0,0,0,Sagittarius,0,0,0.7,0
53068,0,31.0,na,0,0,4,0,0,17,0,0,1,1,0,0,1,0,Bi-Weekly,0,0,0,0,Scorpio,0,0,0.33,0
3856,0,43.0,R,0,0,0,0,2,101,0,0,30,1,1,1,0,0,Semi-Monthly,0,1,0,0,Taurus,0,0,0.73,0
43779,0,36.0,R,49,0,56,49,0,243,0,0,11,1,1,1,0,2,Bi-Weekly,0,0,0,0,na,1,0,1.87,0
